Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,419.950012,420.540009,414.170013,420.269989,260.645325,19600
2017-06-23,422.700012,428.010010,420.690002,424.320007,263.157104,12400
2017-06-26,424.320007,428.470001,422.579987,426.339996,264.409851,9900
2017-06-27,425.790009,425.790009,421.839996,421.989990,261.712036,4000
2017-06-28,419.519989,424.410004,419.519989,422.500000,262.028320,6000
2017-06-29,423.600006,423.600006,420.320007,420.769989,260.955353,3200
2017-06-30,424.000000,430.750000,417.730011,421.459991,261.383392,29900
2017-07-03,422.970001,424.630005,416.390015,423.570007,262.691956,14700
2017-07-05,422.000000,423.420013,418.010010,420.049988,260.508881,8500
2017-07-06,417.929993,417.929993,413.339996,413.779999,256.620300,6300
2017-07-07,414.929993,421.989990,414.929993,421.769989,261.575653,9800
2017-07-10,420.500000,421.000000,418.510010,418.510010,259.553802,4000
2017-07-11,419.100006,423.209991,417.019989,419.890015,260.409668,5200
2017-07-12,423.239990,423.489990,420.160004,423.369995,262.567871,4600
2017-07-13,423.519989,423.519989,418.799988,419.290009,260.037506,2800
2017-07-14,420.149994,423.730011,419.290009,423.730011,262.791199,5300
2017-07-17,424.769989,430.320007,422.200012,430.290009,266.859650,9600
2017-07-18,429.570007,432.609985,429.250000,432.609985,268.298401,3200
2017-07-19,430.700012,431.369995,423.019989,430.500000,266.989868,4300
2017-07-20,431.880005,431.880005,431.250000,431.250000,267.454956,1200
2017-07-21,433.829987,435.899994,432.179993,434.570007,269.514069,6200
2017-07-24,433.179993,434.329987,430.739990,431.989990,267.913910,8200
2017-07-25,432.399994,434.609985,432.239990,433.450012,268.819366,3500
2017-07-26,431.929993,435.260010,431.929993,434.679993,269.582184,2700
2017-07-27,431.250000,435.000000,431.250000,434.589996,269.526428,3900
2017-07-28,434.589996,436.000000,432.239990,433.049988,268.571259,3700
2017-07-31,434.799988,435.769989,433.079987,434.989990,269.774475,2600
2017-08-01,435.970001,435.970001,430.359985,430.399994,266.927765,4200
2017-08-02,430.399994,430.399994,427.000000,427.519989,265.141632,6800
2017-08-03,421.250000,422.130005,419.049988,421.209991,263.851288,3400
